,filename,date,year,month,day,lon_10,lat_10,lon_30,lat_30,lon_50,lat_50,lon_70,lat_70,lon_90,lat_90
428,ice_conc_nh_ease2-250_cdr-v2p0_198106101200.nc,1981-06-10,1981,6,10,19.945520256245473,76.52165841906564,20.876475181471353,76.74535644182947,20.539222690017315,78.57815355444914,20.119889633367404,80.08430093462059,24.568636498810747,83.61371617522981
429,ice_conc_nh_ease2-250_cdr-v2p0_198106121200.nc,1981-06-12,1981,6,12,21.134891042076795,76.42792460082973,21.185790319167307,77.09166390127957,19.030614006116263,78.52490726255112,20.731820173696924,80.01602150291605,26.04644413825384,83.73607245876376
430,ice_conc_nh_ease2-250_cdr-v2p0_198106141200.nc,1981-06-14,1981,6,14,20.337883127656674,76.65583117974259,20.92411011159547,77.26085201058575,18.939615200676393,78.50885798167148,20.938812661386173,79.53327077669226,18.227233370731135,81.49368662852717
431,ice_conc_nh_ease2-250_cdr-v2p0_198106161200.nc,1981-06-16,1981,6,16,20.744264563435276,76.72837382766336,20.148842855611605,77.5119754377727,18.475425451211887,78.59880959729014,20.815012085687748,79.72088836783605,16.657136045493914,81.78591284684651
432,ice_conc_nh_ease2-250_cdr-v2p0_198106181200.nc,1981-06-18,1981,6,18,36.177425833378734,64.52175261859722,36.285267732745716,64.3689596878213,18.427933026058703,78.59408196496312,20.77408459551412,79.55732332627649,19.400053436624056,80.85847853236724
433,ice_conc_nh_ease2-250_cdr-v2p0_198106201200.nc,1981-06-20,1981,6,20,20.938700968504282,76.80528216709064,36.707457164278196,64.28260057968745,19.364797193806545,79.02614702522904,18.00484538887662,79.02992437869386,20.169008237356206,80.79042273860546
434,ice_conc_nh_ease2-250_cdr-v2p0_198106221200.nc,1981-06-22,1981,6,22,20.294563264928733,77.01457912542887,22.41640825461561,77.73677285975154,19.255685531570478,79.02324440099203,20.68262682115022,79.43978148131337,20.2438290017083,80.69260350225296
435,ice_conc_nh_ease2-250_cdr-v2p0_198106241200.nc,1981-06-24,1981,6,24,20.908595375309243,77.24899905148386,22.38953228555684,77.85708679622762,19.032055778517417,79.05745540897178,19.525499844692572,79.27709782023665,20.610927568682303,80.7141305323104
436,ice_conc_nh_ease2-250_cdr-v2p0_198106261200.nc,1981-06-26,1981,6,26,20.958595267164533,77.0383899171984,20.75968424125786,78.10932635763331,19.28688809345022,79.07619156799763,19.59483568075478,79.26603876645298,19.789783953365806,80.51247028355729
437,ice_conc_nh_ease2-250_cdr-v2p0_198106281200.nc,1981-06-28,1981,6,28,20.673074376225912,77.10943192396385,22.389706094673077,77.80744302348097,19.096825941469884,79.03181851257347,19.448400876367728,79.22924540068921,19.804367965970677,80.15996532198675
438,ice_conc_nh_ease2-250_cdr-v2p0_198106301200.nc,1981-06-30,1981,6,30,20.250365971279766,77.2962316734656,19.89708226296769,78.22350714086446,18.99067818234766,79.06135767518718,19.21538624263802,79.26777667327381,19.239203261037634,80.4302517680024
